rank 0 backend:gloo, data_size:262144, world_size:2, time:0.002671962487511337
rank 0 backend:gloo, data_size:2621440, world_size:2, time:0.012310232035815716
rank 0 backend:gloo, data_size:26214400, world_size:2, time:0.0934825885342434
rank 0 backend:gloo, data_size:268435456, world_size:2, time:1.010224240948446
rank 0 backend:gloo, data_size:536870912, world_size:2, time:3.276113986503333
rank 0 backend:gloo, data_size:262144, world_size:3, time:0.005705338049059113
rank 0 backend:gloo, data_size:2621440, world_size:3, time:0.01625128633653124
rank 0 backend:gloo, data_size:26214400, world_size:3, time:0.1291737766781201
rank 0 backend:gloo, data_size:268435456, world_size:3, time:1.4212564170205344
rank 0 backend:gloo, data_size:536870912, world_size:3, time:3.0931063406169415
rank 0 backend:gloo, data_size:262144, world_size:4, time:0.007039215008262545
rank 0 backend:gloo, data_size:2621440, world_size:4, time:0.019229509809520096
rank 0 backend:gloo, data_size:26214400, world_size:4, time:0.14885984698776156
rank 0 backend:gloo, data_size:268435456, world_size:4, time:2.0711638105567545
rank 0 backend:gloo, data_size:536870912, world_size:4, time:3.7203677549259737
rank 0 backend:nccl, data_size:262144, world_size:2, time:0.00020584044978022575
rank 0 backend:nccl, data_size:2621440, world_size:2, time:0.0008968830807134509
rank 0 backend:nccl, data_size:26214400, world_size:2, time:0.007378296926617622
rank 0 backend:nccl, data_size:268435456, world_size:2, time:0.07316599041223526
rank 0 backend:nccl, data_size:536870912, world_size:2, time:0.14062302559614182
rank 0 backend:nccl, data_size:262144, world_size:3, time:0.00041783492391308147
rank 0 backend:nccl, data_size:2621440, world_size:3, time:0.0012168576940894127
rank 0 backend:nccl, data_size:26214400, world_size:3, time:0.008588667027652264
rank 0 backend:nccl, data_size:268435456, world_size:3, time:0.08451738208532333
rank 0 backend:nccl, data_size:536870912, world_size:3, time:0.16834101577599844
rank 0 backend:nccl, data_size:262144, world_size:4, time:0.0005177247221581638
rank 0 backend:nccl, data_size:2621440, world_size:4, time:0.0026464127586223185
rank 0 backend:nccl, data_size:26214400, world_size:4, time:0.02543600555509329
rank 0 backend:nccl, data_size:268435456, world_size:4, time:0.25755177438259125
rank 0 backend:nccl, data_size:536870912, world_size:4, time:0.5171535462141037
